Synset ID,Lemmas,Definition,New Definution,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas
oewn-10646919-n,soundman,a technician in charge of amplifying sound or producing sound effects (as for a TV or radio broadcast),,,,,,,,
oewn-10734679-n,"romp, hoyden, tomboy",a girl who behaves in a boyish manner,,,,,,,,
oewn-10075655-n,"opposition, enemy, foe, foeman",an armed adversary (especially a member of an opposing military force),,,,,,,,
oewn-10734333-n,"toll agent, toll collector, toll taker, toller, tollgatherer, tollkeeper, tollman",someone employed to collect tolls,,,,,,,,
oewn-10337375-n,militiaman,a member of the militia; serves only during emergencies,,,,,,,,
oewn-10400198-n,Orangeman,a member of a society founded in Ireland in 1795 to uphold Protestantism and the British sovereign,,,,,,,,
oewn-10803410-n,"wireman, wirer",a worker who installs and repairs electric wiring,,,,,,,,
oewn-09880059-n,blood brother,a male sworn (usually by a ceremony involving the mingling of blood) to treat another as his brother,,,,,,,,
oewn-09778642-n,"schoolman, academician",a scholar who is skilled in academic disputation,,,,,,,,
oewn-10391029-n,office boy,a young man who is employed to do odd jobs in a business office,,,,,,,,
oewn-09837427-n,"spaceman, astronaut, cosmonaut",a person trained to travel in a spacecraft,,,,,,,,
oewn-10098113-n,"paramour, fancy man",a woman's lover,,,,,,,,
oewn-09732504-n,"Hollander, Dutchman, Netherlander",a native or inhabitant of Holland,,,,,,,,
oewn-10766249-n,"feudatory, liege, liege subject, liegeman, vassal",a person holding a fief; a person who owes allegiance and service to a feudal lord,,,,,,,,
oewn-10068293-n,elder statesman,an elderly statesman whose advice is sought be government leaders,,,,,,,,
oewn-10810861-n,"working man, working person, workingman, workman",an employee who performs manual or industrial labor,,,,,,,,
oewn-10684445-n,strongman,a powerful political figure who rules by the exercise of force or violence,,,,,,,,
oewn-10553431-n,"road mender, roadman",a workman who is employed to repair roads,,,,,,,,
oewn-10356617-n,muffin man,formerly an itinerant peddler of muffins,,,,,,,,
oewn-10812808-n,"grappler, wrestler, matman",combatant who tries to throw opponent to the ground,,,,,,,,
oewn-10087600-n,everyman,the ordinary person,,,,,,,,
oewn-09659757-n,soul brother,a fellow Black man,,,,,,,,
oewn-10566190-n,"sailor, crewman",any member of a ship's crew,,,,,,,,
oewn-09992602-n,"rodeo rider, cowboy",a performer who gives exhibitions of riding and roping and bulldogging,,,,,,,,
oewn-10205301-n,"horse fancier, horseman",a person who breeds and cares for horses,,,,,,,,
oewn-10283628-n,linesman,"official (in tennis, soccer, football, etc.) who assists the referee in some way (especially by watching for out of bounds or offside)",,,,,,,,
oewn-10807040-n,wolf boy,a male person assumed to have been raised by wolves,,,,,,,,
oewn-10394240-n,oilman,a worker who produces or sells petroleum,,,,,,,,
oewn-10550146-n,rifleman,a soldier whose weapon is a rifle,,,,,,,,
oewn-09921806-n,"trooper, cavalryman",a soldier mounted on horseback,,,,,,,,
oewn-10456474-n,"pivot, pivot man",the person in a rank around whom the others wheel and maneuver,,,,,,,,
oewn-10730902-n,timberman,an owner or manager of a company that is engaged in lumbering,,,,,,,,
oewn-09851898-n,baggageman,an attendant who takes care of baggage,,,,,,,,
oewn-89388690-n,king,the husband or widower of a queen,,,,,,,,
oewn-10152508-n,"glutton, gourmand, gourmandizer, trencherman",a person who is devoted to eating and drinking to excess,,,,,,,,
oewn-10728625-n,"third baseman, third sacker",(baseball) the person who plays third base,,,,,,,,
