Synset ID,Lemmas,Definition,New Definition,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas,Generic Lemma,
oewn-10269156-n,"peace officer, law officer, lawman",an officer of the law,,FALSE,FALSE,,a male officer of the law,lawman,a female officer of the law,lawwoman,,
oewn-10467896-n,pointsman,a policeman stationed at an intersection to direct traffic,,FALSE,FALSE,80600405-n,,,a policewoman stationed at an intersection to direct traffic,pointswoman,,
oewn-10329163-n,"wise man, mentor",a wise and trusted guide and advisor,,FALSE,FALSE,,a male wise and trusted guide and advisor,wise man,a female wise and trusted guide and advisor,wise woman,,
oewn-09893070-n,"breaker, ledgeman",a quarry worker who splits off blocks of stone,,FALSE,FALSE,,a male quarry worker who splits off blocks of stone,ledgeman,a female quarry worker who splits off blocks of stone,ledgewoman,,
oewn-09896358-n,brother,a male person who is a fellow member (of a fraternity or religion or other group),,TRUE,FALSE,,,,,,,
oewn-10574739-n,"scapegoat, whipping boy",someone who is punished for the errors of others,,FALSE,FALSE,,a man who is punished for the errors of others,whipping boy,a woman who is punished for the errors of others,whipping girl,,
oewn-10394351-n,oilman,a person who owns or operates oil wells,,FALSE,FALSE,,a male person who owns or operates oil wells,oilman,a female person who owns or operates oil wells,oil woman,oil operator,
oewn-10569809-n,sandwichman,a person with advertising boards hanging from the shoulders,,FALSE,FALSE,,a male person with advertising boards hanging from the shoulders,sandwichman,a female person with advertising boards hanging from the shoulders,sandwichwoman,,
oewn-10810024-n,"woodman, woodsman",someone who lives in the woods,,FALSE,FALSE,,a man who lives in the woods,"woodman, woodsman",a woman who lives in the woods,woodswoman,,woodwoman unattested
oewn-10479599-n,"potboy, potman",a worker in an inn or public house who serves customers and does various chores,,FALSE,FALSE,,a male worker in an inn or public house who serves customers and does various chores,"potboy, potman",a female worker in an inn or public house who serves customers and does various chores,pot-girl,,
oewn-89433552-n,counterman,a male who attends a counter (as in a diner),,FALSE,FALSE,,a male male who attends a counter (as in a diner),counterman,a female male who attends a counter (as in a diner),counterwoman,counterperson,
oewn-10295742-n,"lumberjack, faller, feller, logger, lumberman",a person who fells trees,,FALSE,FALSE,,a male person who fells trees,lumberman,a female person who fells trees,lumberwoman,,
oewn-10677940-n,"stock farmer, stock raiser, stockman",farmer who breed or raises livestock,,FALSE,FALSE,,male farmer who breed or raises livestock,stockman,female farmer who breed or raises livestock,stockwoman,,
oewn-09972962-n,"henchman, partner in crime, collaborator, confederate",someone who assists in a plot,,FALSE,FALSE,,a man who assists in a plot,henchman,a woman who assists in a plot,henchwoman,,
oewn-10539477-n,remittance man,an exile living on money sent from home,,FALSE,FALSE,,a male exile living on money sent from home,remittance man,a female exile living on money sent from home,remittance woman,remittance person,
oewn-10789727-n,"security guard, watcher, watchman",a guard who keeps watch,,FALSE,FALSE,,a male guard who keeps watch,watchman,a female guard who keeps watch,watchwoman,,
oewn-10284625-n,"linkboy, linkman",(formerly) an attendant hired to carry a torch for pedestrians in dark streets,,TRUE,FALSE,,,,,,,
oewn-10110633-n,"fingerprint expert, fingerprint man, fingerprint specialist",a specialist in identifying fingerprints,,FALSE,FALSE,,a male specialist in identifying fingerprints,fingerprint man,a female specialist in identifying fingerprints,fingerprint woman,,
oewn-10717864-n,"TV newsman, TV reporter, television newscaster, television reporter",someone who reports news stories via television,,FALSE,FALSE,,a man who reports news stories via television,TV newsman,a woman who reports news stories via television,TV newswoman,,
oewn-10199158-n,"hod carrier, hodman",a laborer who carries supplies to masons or bricklayers,,FALSE,FALSE,,a male laborer who carries supplies to masons or bricklayers,hodman,,,,hodwoman is unattested
