Synset ID,Lemmas,Definition,New Definition,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas,Generic Lemma,
oewn-10353551-n,"speed cop, motorcycle cop, motorcycle policeman",a policeman who rides a motorcycle (and who checks the speeds of motorists),,FALSE,FALSE,,a male policeman who rides a motorcycle (and who checks the speeds of motorists),motorcycle policeman,a female policeman who rides a motorcycle (and who checks the speeds of motorists),motorcycle policewoman,,
oewn-10762654-n,utility man,a baseball player valued for the ability to play at several positions,,FALSE,FALSE,,a male baseball player valued for the ability to play at several positions,utility man,a female baseball player valued for the ability to play at several positions,utility woman,utility player,
oewn-09994178-n,"journeyman, artificer, artisan, craftsman",a skilled worker who practices some trade or handicraft,,FALSE,FALSE,,a male skilled worker who practices some trade or handicraft,"journeyman, craftsman",a female skilled worker who practices some trade or handicraft,"journeywoman, craftswoman",,
oewn-10416607-n,paperboy,a boy who sells or delivers newspapers,,FALSE,TRUE,,,,,,,
oewn-10397093-n,ombudsman,a government appointee who investigates complaints by private persons against the government,,FALSE,FALSE,,a male government appointee who investigates complaints by private persons against the government,ombudsman,a female government appointee who investigates complaints by private persons against the government,ombudswoman,ombudsperson,
oewn-10106152-n,"fielder, fieldsman",a member of the cricket team that is fielding rather than batting,,FALSE,FALSE,,a male member of the cricket team that is fielding rather than batting,fieldsman,a female member of the cricket team that is fielding rather than batting,fieldswoman,,
oewn-10550252-n,rifleman,someone skilled in the use of a rifle,,FALSE,FALSE,,a man skilled in the use of a rifle,rifleman,a woman skilled in the use of a rifle,riflewoman,rifler,
oewn-09892601-n,brakeman,a railroad employee responsible for a train's brakes,,FALSE,FALSE,,a male railroad employee responsible for a train's brakes,brakeman,a female railroad employee responsible for a train's brakes,brakewoman,brake worker,
oewn-10039277-n,"diver, underwater diver, frogman",someone who works underwater,,FALSE,FALSE,,a man who works underwater,frogman,a woman who works underwater,frogwoman,,
oewn-10378021-n,night watchman,a watchman who works during the night,,FALSE,FALSE,,a male watchman who works during the night,night watchman,a female watchman who works during the night,night watchwoman,night watcher,
oewn-10115433-n,"flatfoot, patrolman",a policeman who patrols a given region,,FALSE,FALSE,,a male policeman who patrols a given region,patrolman,a female policeman who patrols a given region,patrolwoman,,
oewn-10566407-n,"saint, holy man, holy person, angel",person of exceptional holiness,a person of exceptional holiness,FALSE,FALSE,,a man of exceptional holiness,holy man,a woman of exceptional holiness,holy woman,,
oewn-10674608-n,"stevedore, dock worker, dock-walloper, docker, dockhand, dockworker, loader, longshoreman, lumper",a laborer who loads and unloads vessels in a port,,FALSE,FALSE,,a male laborer who loads and unloads vessels in a port,longshoreman,a female laborer who loads and unloads vessels in a port,longshorewoman,,
oewn-10602198-n,"man, military personnel, serviceman, military man",someone who serves in the armed forces; a member of a military force,,FALSE,FALSE,,a man who serves in the armed forces; a member of a military force,"man, serviceman, military man",a woman who serves in the armed forces; a member of a military force,"woman, servicewoman, military woman",,
,"dairy farmer, dairyman",the owner or manager of a dairy,an owner or manager of a dairy,FALSE,FALSE,,a male owner or manager of a dairy,dairyman,a female owner or manager of a dairy,dairywoman,,
oewn-09956514-n,"college boy, college man, collegian",a student (or former student) at a college or university,,FALSE,FALSE,,a male student (or former student) at a college or university,"college man, college boy",,,,college girl already exists
oewn-09965916-n,company man,an employee whose first loyalty is to the company rather than to fellow workers,,FALSE,FALSE,,a male employee whose first loyalty is to the company rather than to fellow workers,company man,a female employee whose first loyalty is to the company rather than to fellow workers,company woman,company person,
oewn-10183493-n,head linesman,a football official in charge of recording yardage gained or lost,,FALSE,FALSE,,a male football official in charge of recording yardage gained or lost,head linesman,a female football official in charge of recording yardage gained or lost,head lineswoman,head linesperson,
oewn-10822446-n,yardman,a laborer hired to do outdoor work (such as mowing lawns),,FALSE,FALSE,,a male laborer hired to do outdoor work (such as mowing lawns),yardman,a female laborer hired to do outdoor work (such as mowing lawns),yardwoman,yard worker,
oewn-10769021-n,"vet, veteran, ex-serviceman",a person who has served in the armed forces,,FALSE,FALSE,,a male person who has served in the armed forces,ex-serviceman,a female person who has served in the armed forces,ex-servicewoman,,
oewn-10341412-n,"miracle man, miracle worker",a person who claims or is alleged to perform miracles,,FALSE,FALSE,,a male person who claims or is alleged to perform miracles,miracle man,a female person who claims or is alleged to perform miracles,miracle woman,,
oewn-09850005-n,"backroom boy, brain truster",an expert adviser involved in making important decisions but usually lacking official status,,FALSE,FALSE,,a male expert adviser involved in making important decisions but usually lacking official status,backroom boy,a female expert adviser involved in making important decisions but usually lacking official status,backroom girl,,
oewn-09775831-n,"able seaman, able-bodied seaman",a seaman in the merchant marine; trained in special skills,a sailor in the merchant marine; trained in special skills,FALSE,FALSE,,a seaman in the merchant marine; trained in special skills,"able seaman, able-bodied seaman",a female sailor in the merchant marine; trained in special skills,"able seawoman, able-bodied seawoman",able-bodied sailor,
oewn-10136924-n,"gagman, gagster, gagwriter",someone who writes comic material for public performers,,FALSE,FALSE,,a man who writes comic material for public performers,gagman,a woman who writes comic material for public performers,gagwoman,,
oewn-10801360-n,"feral man, wild man",a person who is not socialized,,FALSE,FALSE,,a male person who is not socialized,"feral man, wild man",a female person who is not socialized,"feral woman, wild woman",feral person,
oewn-10483744-n,"sermoniser, sermonizer, preacher, preacher man",someone whose occupation is preaching the gospel,,FALSE,FALSE,,a man whose occupation is preaching the gospel,preacher man,a woman whose occupation is preaching the gospel,preacher woman,,
oewn-10607214-n,sheepman,a man who raises (or tends) sheep,,TRUE,FALSE,,,,,,,
oewn-10739341-n,townsman,a person from the same town as yourself,,FALSE,FALSE,,a male person from the same town as yourself,townsman,a female person from the same town as yourself,townswoman,townie,
oewn-10680322-n,"second banana, straight man",a performer who acts as stooge to a comedian,,FALSE,FALSE,,a male performer who acts as stooge to a comedian,straight man,a female performer who acts as stooge to a comedian,straight woman,,
oewn-10550684-n,"right-hand man, chief assistant, man Friday",the most helpful assistant,,FALSE,FALSE,,the most helpful male assistant,"right-hand man, man Friday",the most helpful female assistant,right-hand woman,,
oewn-09852122-n,bagman,a racketeer assigned to collect or distribute payoff money,,FALSE,FALSE,,a male racketeer assigned to collect or distribute payoff money,bagman,a female racketeer assigned to collect or distribute payoff money,bagwoman,,No gender neutral tem
oewn-10594533-n,"seducer, ladies' man, lady killer",a man who takes advantage of women,,TRUE,FALSE,,,,,,,
oewn-09939148-n,choirboy,a boy who sings in a choir,,FALSE,TRUE,,,,a girl who sings in a choir,choirgirl,,Hypernym = girl
oewn-10337542-n,milkman,someone who delivers milk,,FALSE,FALSE,,a man who delivers milk,milkman,a woman who delivers milk,milkwoman,milk delivery person,
oewn-10616499-n,signalman,a railroad employee in charge of signals and point in a railroad yard,,FALSE,FALSE,,a male railroad employee in charge of signals and point in a railroad yard,signalman,a female railroad employee in charge of signals and point in a railroad yard,signalwoman,signal worker,
oewn-09905221-n,cabin boy,a young man acting as a servant on a ship,,TRUE,FALSE,,,,a young woman acting as a servant on a ship,cabin girl,,
oewn-10560292-n,roundsman,a worker employed to make rounds (to deliver goods or make inspections or so on),,FALSE,FALSE,,a male worker employed to make rounds (to deliver goods or make inspections or so on),roundsman,a female worker employed to make rounds (to deliver goods or make inspections or so on),roundswoman,roundsperson,
oewn-09805332-n,altar boy,a boy serving as an acolyte,,FALSE,TRUE,,,,a girl serving as an acolyte,altar girl,,hypernym = girl
oewn-10288119-n,liveryman,a worker in a livery stable,,FALSE,FALSE,,a male worker in a livery stable,liveryman,a female worker in a livery stable,liverywoman,livery worker,
oewn-10306552-n,"maltman, maltster",a maker of malt,,FALSE,FALSE,,a male maker of malt,maltman,a female maker of malt,maltwoman,,
oewn-09928136-n,chapman,archaic term for an itinerant peddler,an itinerant peddler,FALSE,FALSE,,a male itinerant peddler,chapman,a female itinerant peddler,chapwoman,,"exemplifies archaism, no gender neutral"
oewn-10823295-n,"yeoman, yeoman of the guard, beefeater",officer in the (ceremonial) bodyguard of the British monarch,,TRUE,FALSE,,,,,,,
oewn-10456781-n,"placeman, placeseeker",a disparaging term for an appointee,,FALSE,FALSE,,a disparaging term for a male appointee,placeman,a disparaging term for a female appointee,placewoman,,
oewn-10712548-n,"internal revenue agent, tax collector, taxman, collector of internal revenue, exciseman",someone who collects taxes for the government,,FALSE,FALSE,,a man who collects taxes for the government,"taxman, exciseman",a woman who collects taxes for the government,"taxwoman, excisewoman",,
oewn-09863124-n,batman,an orderly assigned to serve a British military officer,,FALSE,FALSE,,a male orderly assigned to serve a British military officer,batman,a female orderly assigned to serve a British military officer,batwoman,,gender neutral not attested
oewn-10684629-n,strongman,a man who performs feats of strength at a fair or circus,,TRUE,FALSE,,,,,,,
oewn-09749546-n,"Scandinavian, Norse, Northman",an inhabitant of Scandinavia,,FALSE,FALSE,,a male inhabitant of Scandinavia,Northman,a female inhabitant of Scandinavia,Northwoman,,
oewn-10183618-n,"headman, tribal chief, chief, chieftain",the head of a tribe or clan,a head of a tribe or clan,FALSE,FALSE,,a male head of a tribe or clan,headman,a female head of a tribe or clan,headwoman,,
oewn-10153370-n,"G-man, government man, FBI agent",a special law-enforcement agent of the Federal Bureau of Investigation,,FALSE,FALSE,,a male special law-enforcement agent of the Federal Bureau of Investigation,"G-man, government man",a female special law-enforcement agent of the Federal Bureau of Investigation,"G-woman, government woman",,
oewn-10007849-n,dairyman,a man who works in a dairy,,TRUE,FALSE,,,,a woman who works in a dairy,dairywoman,,
oewn-09878963-n,"blaster, chargeman",a workman employed to blast with explosives,,FALSE,FALSE,,a male workman employed to blast with explosives,chargeman,a female workman employed to blast with explosives,chargewoman,,
oewn-10480626-n,"poulterer, poultryman",a dealer in poultry and poultry products,,FALSE,FALSE,,a male dealer in poultry and poultry products,poultryman,a female dealer in poultry and poultry products,poultrywoman,,
oewn-09886717-n,border patrolman,someone who patrols the borders of a country,,FALSE,FALSE,,a man who patrols the borders of a country,border patrolman,a woman who patrols the borders of a country,border patrolwoman,border patroller,
oewn-10240156-n,"jazz musician, jazzman",a musician who plays or composes jazz music,,FALSE,FALSE,,a male musician who plays or composes jazz music,jazzman,a female musician who plays or composes jazz music,jazzwoman,,
oewn-10765000-n,"man, gentleman, gentleman's gentleman, valet, valet de chambre",a manservant who acts as a personal attendant to his employer,,TRUE,FALSE,,,,,,,
oewn-09903961-n,"butler, pantryman",a manservant (usually the head servant of a household) who has charge of wines and the table,a servant (usually the head servant of a household) who has charge of wines and the table,FALSE,FALSE,,a manservant (usually the head servant of a household) who has charge of wines and the table,pantryman,a female servant (usually the head servant of a household) who has charge of wines and the table,pantrywoman,,womanservant? [EDIT: Not attested in CoCA]
oewn-10658867-n,sporting man,someone who leads a merry existence; especially a gambler on the outcome of sporting events,a man who leads a merry existence; especially a gambler on the outcome of sporting events,TRUE,FALSE,,,,,,,
oewn-10459494-n,"playboy, Corinthian, man-about-town",a man devoted to the pursuit of pleasure,,TRUE,FALSE,,,,,,,
oewn-10283277-n,lineman,the surveyor who marks positions with a range pole,a surveyor who marks positions with a range pole,FALSE,FALSE,,a male surveyor who marks positions with a range pole,lineman,a female surveyor who marks positions with a range pole,linewoman,line surveyor,
oewn-10569647-n,sandboy,a young peddler of sand; used now only to express great happiness in ‘happy as a sandboy’,a young male peddler of sand; used now only to express great happiness in ‘happy as a sandboy’,FALSE,TRUE,,,,,,,
oewn-10216023-n,iceman,someone who cuts and delivers ice,,FALSE,FALSE,,a man who cuts and delivers ice,iceman,a woman who cuts and delivers ice,icewoman,ice seller,
oewn-10139987-n,"garbage carter, garbage collector, garbage hauler, garbage man, garbageman, dustman, refuse collector",someone employed to collect and dispose of refuse,,FALSE,FALSE,,a man employed to collect and dispose of refuse,"garbage man, garbageman, dustman",a woman employed to collect and dispose of refuse,"garbage woman, garbagewoman, dustwoman",,
oewn-10137072-n,"gagman, standup comedian",a comedian who uses gags,,FALSE,FALSE,,a male comedian who uses gags,gagman,a female comedian who uses gags,gagwoman,,
oewn-09979596-n,"contact, middleman",a person who is in a position to give you special assistance,,FALSE,FALSE,,a male person who is in a position to give you special assistance,middleman,a female person who is in a position to give you special assistance,middlewoman,,
oewn-10789977-n,"water boy, waterer",an assistant who supplies drinking water,,FALSE,FALSE,,a male assistant who supplies drinking water,water boy,a female assistant who supplies drinking water,water girl,,
oewn-10489196-n,"PR man, press agent, public relations man, publicity man",someone employed to arrange publicity (for a firm or a public figure),,FALSE,FALSE,,a man employed to arrange publicity (for a firm or a public figure),"PR man, public relations man, publicity man",a woman employed to arrange publicity (for a firm or a public figure),"PR woman, public relations woman, publicity woman",,
oewn-10184590-n,"headman, headsman",an executioner who beheads the condemned person,,FALSE,FALSE,,a male executioner who beheads the condemned person,"headman, headsman",a female executioner who beheads the condemned person,headswoman,,Gender neutral unattested
oewn-10565619-n,"safebreaker, safecracker, cracksman",a thief who breaks open safes to steal valuable contents,,FALSE,FALSE,,a male thief who breaks open safes to steal valuable contents,cracksman,a female thief who breaks open safes to steal valuable contents,crackswoman,,Female form may be attested
oewn-09947594-n,"divine, churchman, cleric, ecclesiastic",a clergyman or other person in religious orders,,FALSE,FALSE,,a male clergyman or other person in religious orders,churchman,a female clergyman or other person in religious orders,churchwoman,,
oewn-09880801-n,"sailor, sailor boy, bluejacket, navy man",a serviceman in the navy,,FALSE,FALSE,,a male serviceman in the navy,"navy man, sailor boy",a female serviceman in the navy,"navy woman, sailor girl",,
oewn-09996708-n,"crew member, crewman",a member of a flight crew,,FALSE,FALSE,,a male member of a flight crew,crewman,a female member of a flight crew,crewwoman,,
oewn-10196310-n,"hand, hired hand, hired man",a hired laborer on a farm or ranch,,FALSE,FALSE,,a male hired laborer on a farm or ranch,hired man,a female hired laborer on a farm or ranch,hired woman,,
oewn-09952246-n,coastguardsman,a member of a coastguard,,FALSE,FALSE,,a male member of a coastguard,coastguardsman,a female member of a coastguard,coastguardswoman,coastguard,
oewn-10230706-n,"interlocutor, middleman",the performer in the middle of a minstrel line who engages the others in talk,a performer in the middle of a minstrel line who engages the others in talk,FALSE,FALSE,,a male performer in the middle of a minstrel line who engages the others in talk,middleman,a female performer in the middle of a minstrel line who engages the others in talk,middlewoman,,
oewn-10742407-n,"trainman, railroad man, railroader, railway man, railwayman",an employee of a railroad,,FALSE,FALSE,,a male employee of a railroad,"trainman, railroad man, railway man, railwayman",a female employee of a railroad,"trainwoman, railroad woman, railway woman, railwaywoman",,
oewn-10113427-n,"fisher, fisherman",someone whose occupation is catching fish,,FALSE,FALSE,,a man whose occupation is catching fish,fisherman,a woman whose occupation is catching fish,fisherwoman,,
oewn-09900985-n,bushman,a dweller in the Australian bush country,,FALSE,FALSE,,a male dweller in the Australian bush country,bushman,a female dweller in the Australian bush country,bushwoman,bushperson,
oewn-10532713-n,"redact, redactor, reviser, rewrite man, rewriter",someone who puts text into appropriate form for publication,,FALSE,FALSE,,a man who puts text into appropriate form for publication,rewrite man,a woman who puts text into appropriate form for publication,rewrite woman,,
oewn-09914932-n,career man,a man who is a careerist,,TRUE,FALSE,,,,a woman who is a careerist,career woman,,
oewn-10224540-n,"infantryman, foot soldier, footslogger, marcher",fights on foot with small arms,someone who fights on foot with small arms,FALSE,FALSE,,a man who fights on foot with small arms,infantryman,a woman who fights on foot with small arms,infantrywoman,,
oewn-10773007-n,"vigilance man, vigilante",member of a vigilance committee,,FALSE,FALSE,,a male member of a vigilance committee,vigilance man,a female member of a vigilance committee,vigilance woman,,
oewn-09922184-n,"troglodyte, cave dweller, cave man, caveman",someone who lives in a cave,,FALSE,FALSE,,a man who lives in a cave,"cave man, caveman",a woman who lives in a cave,"cave woman, cavewoman",,
oewn-09996612-n,crewman,a member of a work crew,,FALSE,FALSE,,a male member of a work crew,crewman,a female member of a work crew,crewwoman,crew member,
oewn-09862831-n,bat boy,(baseball) a boy who takes care of bats and other baseball equipment,,FALSE,TRUE,,,,,,,
oewn-10308837-n,man,a male subordinate,,TRUE,FALSE,,,,,,,
oewn-09781176-n,"registered representative, account executive, account representative, customer's broker, customer's man",someone in charge of a client's account for an advertising agency or brokerage or other service business,,FALSE,FALSE,,a man in charge of a client's account for an advertising agency or brokerage or other service business,customer's man,a woman in charge of a client's account for an advertising agency or brokerage or other service business,customer's woman,,
oewn-09899082-n,bullyboy,a swaggering tough; usually one acting as an agent of a political faction,,FALSE,FALSE,09899018-n,a male swaggering tough; usually one acting as an agent of a political faction,bullyboy,a female swaggering tough; usually one acting as an agent of a political faction,bullygirl,,"If creating both genders and hypernym, delete this synset"
oewn-10615756-n,sidesman,(Church of England) an assistant to the churchwarden; collects offerings of money in the church,,FALSE,FALSE,,(Church of England) a male assistant to the churchwarden; collects offerings of money in the church,sidesman,(Church of England) a female assistant to the churchwarden; collects offerings of money in the church,sideswoman,,no gender neutral
oewn-10593869-n,section man,someone who teaches a section of a large college course,,FALSE,FALSE,,a man who teaches a section of a large college course,section man,a woman who teaches a section of a large college course,section woman,"section instructor, section teacher",
oewn-09801838-n,alderman,a member of a municipal legislative body (as a city council),,FALSE,FALSE,,a male member of a municipal legislative body (as a city council),alderman,a female member of a municipal legislative body (as a city council),alderwoman,alderperson,
oewn-10236360-n,"ironmonger, hardwareman",someone who sells hardware,,FALSE,FALSE,,a man who sells hardware,hardwareman,a woman who sells hardware,hardware woman,,
oewn-10453501-n,"pandar, pander, panderer, pimp, ponce, procurer, fancy man",someone who procures customers for whores (in England they call a pimp a ponce),,FALSE,FALSE,,a man who procures customers for whores (in England they call a pimp a ponce),fancy man,,,,female not attested
oewn-10068420-n,elder statesman,any influential person whose advice is highly respected,,FALSE,FALSE,,a man whose advice is highly respected,elder statesman,a woman whose advice is highly respected,elder stateswoman,,
oewn-10178882-n,"odd-job man, handyman, jack of all trades",a man skilled in various odd jobs and other small tasks,,TRUE,FALSE,,,,a woman skilled in various odd jobs and other small tasks,"odd-job woman, handywoman",,
oewn-09917055-n,"carrier, newsboy",a boy who delivers newspapers,,FALSE,TRUE,,,,,,,
oewn-10288775-n,"lockkeeper, lockman, lockmaster",a worker in charge of a lock (on a canal),,FALSE,FALSE,,a male worker in charge of a lock (on a canal),lockman,,,,female not attested
oewn-10181460-n,"hatchet man, enforcer",one whose job it is to execute unpleasant tasks for a superior,,FALSE,FALSE,,a man whose job it is to execute unpleasant tasks for a superior,hatchet man,a woman whose job it is to execute unpleasant tasks for a superior,hatchet woman,,
oewn-10104986-n,"swordsman, fencer",someone skilled at fencing,,FALSE,FALSE,,a man skilled at fencing,swordsman,a woman skilled at fencing,swordswoman,,
oewn-10646919-n,soundman,a technician in charge of amplifying sound or producing sound effects (as for a TV or radio broadcast),,FALSE,FALSE,,a male technician in charge of amplifying sound or producing sound effects (as for a TV or radio broadcast),soundman,a female technician in charge of amplifying sound or producing sound effects (as for a TV or radio broadcast),soundwoman,sound technician,
oewn-10075655-n,"opposition, enemy, foe, foeman",an armed adversary (especially a member of an opposing military force),,FALSE,FALSE,,a male armed adversary (especially a member of an opposing military force),foeman,,,,
oewn-10734333-n,"toll agent, toll collector, toll taker, toller, tollgatherer, tollkeeper, tollman",someone employed to collect tolls,,FALSE,FALSE,,a man employed to collect tolls,tollman,a woman employed to collect tolls,tollwoman,,
oewn-10337375-n,militiaman,a member of the militia; serves only during emergencies,,FALSE,FALSE,,a male member of the militia; serves only during emergencies,militiaman,a female member of the militia; serves only during emergencies,militiawoman,,
oewn-10803410-n,"wireman, wirer",a worker who installs and repairs electric wiring,,FALSE,FALSE,,a male worker who installs and repairs electric wiring,wireman,a female worker who installs and repairs electric wiring,wirewoman,,
oewn-09778642-n,"schoolman, academician",a scholar who is skilled in academic disputation,,FALSE,FALSE,,a male scholar who is skilled in academic disputation,schoolman,a female scholar who is skilled in academic disputation,schoolwoman,,
oewn-10391029-n,office boy,a young man who is employed to do odd jobs in a business office,,FALSE,TRUE,,,,,,,
oewn-09837427-n,"spaceman, astronaut, cosmonaut",a person trained to travel in a spacecraft,,FALSE,FALSE,,a male person trained to travel in a spacecraft,spaceman,a female person trained to travel in a spacecraft,spacewoman,,
oewn-10098113-n,"paramour, fancy man",a woman's lover,,FALSE,FALSE,,a male woman's lover,fancy man,,,,
oewn-09732504-n,"Hollander, Dutchman, Netherlander",a native or inhabitant of Holland,,FALSE,FALSE,,a male native or inhabitant of Holland,Dutchman,a female native or inhabitant of Holland,Dutchwoman,,
oewn-10766249-n,"feudatory, liege, liege subject, liegeman, vassal",a person holding a fief; a person who owes allegiance and service to a feudal lord,,FALSE,FALSE,,a male person holding a fief; a person who owes allegiance and service to a feudal lord,liegeman,a female person holding a fief; a person who owes allegiance and service to a feudal lord,liegewoman,,
oewn-10068293-n,elder statesman,an elderly statesman whose advice is sought be government leaders,,TRUE,FALSE,,,,a elderly stateswoman whose advice is sought be government leaders,elder stateswoman,,
oewn-10810861-n,"working man, working person, workingman, workman",an employee who performs manual or industrial labor,,FALSE,FALSE,,a male employee who performs manual or industrial labor,"working man, workingman, workman",a female employee who performs manual or industrial labor,"working woman, workingwoman, workwoman",,
oewn-10684445-n,strongman,a powerful political figure who rules by the exercise of force or violence,,FALSE,FALSE,,a male powerful political figure who rules by the exercise of force or violence,strongman,a female powerful political figure who rules by the exercise of force or violence,strongwoman,,No gender neutral
oewn-10553431-n,"road mender, roadman",a workman who is employed to repair roads,,FALSE,FALSE,,a male workman who is employed to repair roads,roadman,a female workman who is employed to repair roads,roadwoman,,
oewn-10356617-n,muffin man,formerly an itinerant peddler of muffins,formerly an itinerant male peddler of muffins,TRUE,FALSE,,,,,,,
oewn-10812808-n,"grappler, wrestler, matman",combatant who tries to throw opponent to the ground,,FALSE,FALSE,,male combatant who tries to throw opponent to the ground,matman,,,,
oewn-10087600-n,everyman,the ordinary person,,FALSE,FALSE,,,,the ordinary woman,everywoman,,
oewn-10566190-n,"sailor, crewman",any member of a ship's crew,,FALSE,FALSE,,any male member of a ship's crew,crewman,any female member of a ship's crew,crewwoman,,
oewn-09992602-n,"rodeo rider, cowboy",a performer who gives exhibitions of riding and roping and bulldogging,,FALSE,FALSE,,a male performer who gives exhibitions of riding and roping and bulldogging,cowboy,a female performer who gives exhibitions of riding and roping and bulldogging,cowgirl,,
oewn-10205301-n,"horse fancier, horseman",a person who breeds and cares for horses,,FALSE,FALSE,,a male person who breeds and cares for horses,horseman,a female person who breeds and cares for horses,horsewoman,,
oewn-10283628-n,linesman,"official (in tennis, soccer, football, etc.) who assists the referee in some way (especially by watching for out of bounds or offside)",,FALSE,FALSE,,"male official (in tennis, soccer, football, etc.) who assists the referee in some way (especially by watching for out of bounds or offside)",linesman,"female official (in tennis, soccer, football, etc.) who assists the referee in some way (especially by watching for out of bounds or offside)",lineswoman,"lines umpire, assistant referee",
oewn-10807040-n,wolf boy,a male person assumed to have been raised by wolves,,TRUE,FALSE,,,,,,,
oewn-10394240-n,oilman,a worker who produces or sells petroleum,,FALSE,FALSE,,a male worker who produces or sells petroleum,oilman,a female worker who produces or sells petroleum,oilwoman,oil worker,
oewn-10550146-n,rifleman,a soldier whose weapon is a rifle,,FALSE,FALSE,,a male soldier whose weapon is a rifle,rifleman,a female soldier whose weapon is a rifle,riflewoman,rifler,
oewn-09921806-n,"trooper, cavalryman",a soldier mounted on horseback,,FALSE,FALSE,,a male soldier mounted on horseback,cavalryman,a female soldier mounted on horseback,cavalrywoman,cavalry soldier,
oewn-10730902-n,timberman,an owner or manager of a company that is engaged in lumbering,a male owner or manager of a company that is engaged in lumbering,TRUE,FALSE,,,,,,,
oewn-09851898-n,baggageman,an attendant who takes care of baggage,,FALSE,FALSE,,a male attendant who takes care of baggage,baggageman,a female attendant who takes care of baggage,baggagewoman,baggage attendant,
oewn-10152508-n,"glutton, gourmand, gourmandizer, trencherman",a person who is devoted to eating and drinking to excess,,FALSE,FALSE,,a male person who is devoted to eating and drinking to excess,trencherman,a female person who is devoted to eating and drinking to excess,trencherwoman,,
oewn-10728625-n,"third baseman, third sacker",(baseball) the person who plays third base,,FALSE,FALSE,,(baseball) a male person who plays third base,third baseman,(baseball) a female person who plays third base,third basewoman,,
oewn-09951966-n,"pitman, coal miner, collier",someone who works in a coal mine,,FALSE,FALSE,,a man who works in a coal mine,pitman,a woman who works in a coal mine,pitwoman,,
oewn-09717733-n,"Chinaman, chink",(ethnic slur) offensive term for a person of Chinese descent,,FALSE,FALSE,,(ethnic slur) offensive term for a man of Chinese descent,Chinaman,(ethnic slur) offensive term for a woman of Chinese descent,Chinawoman,,
oewn-10105218-n,ferryman,a man who operates a ferry,,FALSE,FALSE,,a male man who operates a ferry,ferryman,a female man who operates a ferry,ferrywoman,ferry driver,
oewn-10457357-n,plainclothesman,a detective who wears civilian clothes on duty,,FALSE,FALSE,,a male detective who wears civilian clothes on duty,plainclothesman,a female detective who wears civilian clothes on duty,plainclotheswoman,plain clothes detective,
oewn-89782767-n,first gentleman,the husband of a chief executive,,TRUE,FALSE,,,,,,,
oewn-10069171-n,"lineman, linesman, electrician",a person who installs or repairs electrical or telephone lines,,FALSE,FALSE,,a male person who installs or repairs electrical or telephone lines,"lineman, linesman",a female person who installs or repairs electrical or telephone lines,"linewoman, lineswoman",,
oewn-10762538-n,utility man,a workman expected to serve in any capacity when called on,,FALSE,FALSE,,a male workman expected to serve in any capacity when called on,utility man,a female workman expected to serve in any capacity when called on,utility woman,utility worker,
oewn-10212645-n,"hunter, huntsman",someone who hunts game,,FALSE,FALSE,,a man who hunts game,huntsman,a woman who hunts game,huntswoman,,
oewn-10738916-n,"towner, townsman",a resident of a town or city,,FALSE,FALSE,,a male resident of a town or city,townsman,a female resident of a town or city,townswoman,,
oewn-09987658-n,"barrow-boy, barrow-man, costermonger",a hawker of fruit and vegetables from a barrow,,FALSE,FALSE,,a male hawker of fruit and vegetables from a barrow,"barrow-man, barrow-boy",a female hawker of fruit and vegetables from a barrow,"barrow-woman, barrow-girl",,
oewn-10334361-n,midshipman,a temporary rank held by young naval officers in training,,FALSE,FALSE,,a male temporary rank held by young naval officers in training,midshipman,a female temporary rank held by young naval officers in training,midshipwoman,,no gender neutral
oewn-10048994-n,"draftsman, draftsperson, draughtsman",a skilled worker who draws plans of buildings or machines,,FALSE,FALSE,,a male skilled worker who draws plans of buildings or machines,"draftsman, draughtsman",a female skilled worker who draws plans of buildings or machines,"draftswoman, draughtswoman",,
oewn-09824747-n,"bowman, archer",a person who is expert in the use of a bow and arrow,,FALSE,FALSE,,a male person who is expert in the use of a bow and arrow,bowman,a female person who is expert in the use of a bow and arrow,bowwoman,,
oewn-09908991-n,"camera operator, cameraman, cinematographer",a photographer who operates a movie camera,,FALSE,FALSE,,a male photographer who operates a movie camera,cameraman,a female photographer who operates a movie camera,camerawoman,,
oewn-10613451-n,showman,a person skilled at making effective presentations,,FALSE,FALSE,,a male person skilled at making effective presentations,showman,a female person skilled at making effective presentations,showwoman,showperson,
oewn-10502980-n,"property man, property master, propman",member of the stage crew in charge of properties,,FALSE,FALSE,,male member of the stage crew in charge of properties,"property man, propman",female member of the stage crew in charge of properties,"property woman, propwoman",,
oewn-09951794-n,coachman,a man who drives a coach (or carriage),,TRUE,FALSE,,,,a woman who drives a coach (or carriage),coachwoman,,
oewn-10207609-n,"hosteller, hotel manager, hotelier, hotelkeeper, hotelman",an owner or manager of hotels,,FALSE,FALSE,,a male owner or manager of hotels,hotelman,a female owner or manager of hotels,hotelwoman,,
oewn-10803789-n,"smart aleck, weisenheimer, wise guy, wiseacre, wisenheimer","an upstart who makes conceited, sardonic, insolent comments",,FALSE,FALSE,,"a male upstart who makes conceited, sardonic, insolent comments",wise guy,,,,
oewn-09897417-n,"chum, sidekick, brother, buddy, pal, crony",a close friend who accompanies his buddies in their activities,,FALSE,FALSE,,a close male friend who accompanies his buddies in their activities,brother,,,,
oewn-10586524-n,sea king,a Viking pirate chief,,FALSE,FALSE,,a male Viking pirate chief,sea king,a female Viking pirate chief,sea queen,,
