Synset ID,Lemma,Gendered Word,Gender,Is Gendered Word?
oewn-90009741-n,fangirl,girl,F,
oewn-90009741-n,fangirl,girl,F,
oewn-90009741-n,fangirl,girl,F,
oewn-09787015-n,theatrical agent,gent,M,
oewn-09787015-n,actor's agent,gent,M,
oewn-10329163-n,wise man,man,M,
oewn-09854273-n,ballet master,master,M,
oewn-10518571-n,quartermaster,master,M,
oewn-09893070-n,ledgeman,man,M,
oewn-10985353-n,Julius Ullman,man,M,
oewn-09881005-n,bluestocking,king,M,
oewn-09881005-n,bluestocking,king,M,
oewn-09896358-n,brother,brother,M,
oewn-10574739-n,whipping boy,boy,M,
oewn-10574739-n,whipping boy,boy,M,
oewn-10394351-n,oilman,man,M,
oewn-10188050-n,Heidelberg man,man,M,
oewn-10188050-n,Homo heidelbergensis,sis,F,
oewn-10569809-n,sandwichman,man,M,
oewn-09894491-n,bridge agent,gent,M,
oewn-11230095-n,Michel de Notredame,dame,F,
oewn-11230095-n,Michel de Notredame,dame,F,
oewn-10290325-n,lone wolf,wolf,M,
oewn-10529403-n,house agent,gent,M,
oewn-10529403-n,real estate agent,gent,M,
oewn-10529403-n,land agent,gent,M,
oewn-10529403-n,estate agent,gent,M,
oewn-10810024-n,woodman,man,M,
oewn-10810024-n,woodsman,man,M,
oewn-11042305-n,Haile Selassie,lassie,F,
oewn-10479599-n,potboy,boy,M,
oewn-10479599-n,potboy,boy,M,
oewn-10479599-n,potman,man,M,
oewn-10799573-n,whoremaster,master,M,
oewn-89433552-n,counterman,man,M,
oewn-10295742-n,lumberman,man,M,
oewn-10677940-n,stockman,man,M,
oewn-10153164-n,government agent,gent,M,
oewn-10117861-n,yes-man,man,M,
oewn-11364087-n,Tobey,bey,M,
oewn-11364087-n,Mark Tobey,bey,M,
oewn-09972962-n,henchman,man,M,
oewn-10539477-n,remittance man,man,M,
oewn-10789727-n,watchman,man,M,
oewn-10284625-n,linkboy,boy,M,
oewn-10284625-n,linkboy,boy,M,
oewn-10284625-n,linkman,man,M,
oewn-10700641-n,subsister,sister,F,
oewn-10110633-n,fingerprint man,man,M,
oewn-10092134-n,expert witness,ess,F,
oewn-10958355-n,Domingo de Guzman,man,M,
oewn-10717864-n,TV newsman,newsman,M,
oewn-10717864-n,TV newsman,man,M,
oewn-11196517-n,Merman,man,M,
oewn-11196517-n,Ethel Merman,man,M,
oewn-10199158-n,hodman,man,M,
oewn-09812410-n,anchorman,man,M,
oewn-09826498-n,high priest,priest,M,
oewn-09826498-n,archpriest,priest,M,
oewn-10179208-n,hangman,man,M,
oewn-09744816-n,Norseman,man,M,
oewn-09793105-n,hostile witness,ess,F,
oewn-09793105-n,adverse witness,ess,F,
oewn-10524678-n,railbird,bird,F,
oewn-10667676-n,backup man,man,M,
oewn-10611357-n,shop boy,boy,M,
oewn-10611357-n,shop boy,boy,M,
oewn-10257373-n,Klansman,man,M,
oewn-11281473-n,Armand Jean du Plessis,sis,F,
oewn-10524138-n,raftman,man,M,
oewn-10524138-n,raftsman,man,M,
oewn-10155473-n,no-account,count,M,
oewn-10194721-n,Highness,ess,F,
oewn-10023237-n,den mother,mother,F,
oewn-10023237-n,den mother,mother,F,
oewn-09925746-n,chambermaid,maid,F,
oewn-92465797-n,voice in the wilderness,ess,F,
oewn-09921470-n,beef man,man,M,
oewn-09921470-n,cattleman,cattleman,M,
oewn-09921470-n,cattleman,man,M,
oewn-09921470-n,cow man,man,M,
oewn-10703076-n,pigman,man,M,
oewn-10975740-n,Vagn Walfrid Ekman,man,M,
oewn-10975740-n,Ekman,man,M,
oewn-10181609-n,iceman,man,M,
oewn-10181609-n,hatchet man,man,M,
oewn-10509726-n,psycho,ho,F,
oewn-10961507-n,Douglass,lass,F,
oewn-10961507-n,Frederick Douglass,lass,F,
oewn-10545875-n,bacchant,bacchant,M,
oewn-09711521-n,Basotho,ho,F,
oewn-11332357-n,Standish,dish,F,
oewn-11332357-n,Miles Standish,dish,F,
oewn-11332357-n,Myles Standish,dish,F,
oewn-10121750-n,footman,man,M,
oewn-09853646-n,ball-buster,buster,M,
oewn-10520302-n,queen regent,gent,M,
oewn-10633512-n,smasher,masher,M,
oewn-10071491-n,embroideress,ess,F,
oewn-10314263-n,seaman,man,M,
oewn-10715051-n,tease,tease,F,
oewn-09978048-n,consignor,signor,M,
oewn-10224757-n,doughboy,boy,M,
oewn-10224757-n,doughboy,boy,M,
oewn-10718758-n,earthman,man,M,
oewn-10408139-n,master,master,M,
oewn-10422907-n,boss,boss,M,
oewn-10422907-n,party boss,boss,M,
oewn-10422907-n,political boss,boss,M,
oewn-10658757-n,sporting man,man,M,
oewn-10658757-n,outdoor man,man,M,
oewn-10462389-n,ploughman,man,M,
oewn-10462389-n,plowman,man,M,
oewn-09767053-n,German,man,M,
oewn-10746321-n,travel agent,gent,M,
oewn-10182584-n,chief,chief,M,
oewn-10611560-n,tradesman,man,M,
oewn-09633435-n,common man,man,M,
oewn-09903843-n,meatman,man,M,
oewn-10156479-n,linksman,man,M,
oewn-09898387-n,bull,bull,M,
oewn-11428036-n,Zukerman,man,M,
oewn-11428036-n,Pinchas Zukerman,man,M,
oewn-09925991-n,hero,hero,M,
oewn-09925991-n,hero,hero,M,
oewn-10549958-n,riding master,master,M,
oewn-10741678-n,trail boss,boss,M,
oewn-09994955-n,craftsman,man,M,
oewn-10201076-n,homeboy,boy,M,
oewn-10201076-n,homeboy,boy,M,
oewn-10601959-n,servant girl,girl,F,
oewn-10601959-n,servant girl,girl,F,
oewn-10601959-n,servant girl,girl,F,
oewn-10601959-n,serving girl,girl,F,
oewn-10601959-n,serving girl,girl,F,
oewn-10601959-n,serving girl,girl,F,
oewn-09849044-n,bacchant,bacchant,M,
oewn-10776505-n,visiting fireman,man,M,
oewn-10414028-n,palatine,palatine,M,
oewn-10320756-n,material witness,ess,F,
oewn-10048793-n,draftsman,man,M,
oewn-10625393-n,skilled workman,man,M,
oewn-10490364-n,priest,priest,M,
oewn-09767432-n,East German,man,M,
oewn-10315032-n,marquess,ess,F,
oewn-10275156-n,letterman,man,M,
oewn-09732656-n,Norman,man,M,
oewn-11404750-n,Whitman,man,M,
oewn-11404750-n,Marcus Whitman,man,M,
oewn-10423378-n,party man,man,M,
oewn-10053745-n,drill master,master,M,
oewn-10770579-n,vice chairman,chairman,M,
oewn-10770579-n,vice chairman,airman,M,
oewn-10770579-n,vice chairman,man,M,
oewn-10111118-n,fire chief,chief,M,
oewn-10195138-n,highwayman,man,M,
oewn-10195138-n,road agent,gent,M,
oewn-09864306-n,beadsman,man,M,
oewn-09864306-n,bedesman,man,M,
oewn-10518940-n,female monarch,male monarch,M,
oewn-10141371-n,gasman,man,M,
oewn-10314614-n,marksman,man,M,
oewn-10537787-n,fireman,man,M,
oewn-09900824-n,busboy,boy,M,
oewn-09900824-n,busboy,boy,M,
oewn-10112649-n,first lady,first lady,F,
oewn-10112649-n,first lady,lady,F,
oewn-10112649-n,first lady,lady,F,
oewn-10141252-n,gas fitter,fitter,M,
oewn-09760187-n,Alabaman,man,M,
oewn-10771453-n,vicereine,vicereine,F,
oewn-10760809-n,upstart,tart,F,
oewn-09939229-n,choirmaster,master,M,
oewn-10200554-n,stickup man,man,M,
oewn-10200554-n,holdup man,man,M,
oewn-10131232-n,freight agent,gent,M,
oewn-09701369-n,Jewess,ess,F,
oewn-10046278-n,doorman,man,M,
oewn-10741786-n,trainbandsman,man,M,
oewn-10714435-n,teaching fellow,fellow,M,
oewn-10714435-n,teaching fellow,fellow,M,
oewn-10136811-n,gaffer,gaffer,M,
oewn-10136811-n,gaffer,gaffer,M,
oewn-10607013-n,sheepman,man,M,
oewn-11379862-n,Sir Anthony Vandyke,dyke,F,
oewn-11379862-n,Anthony Vandyke,dyke,F,
oewn-11379862-n,Vandyke,dyke,F,
oewn-10201178-n,homeboy,boy,M,
oewn-10201178-n,homeboy,boy,M,
oewn-10822635-n,yardmaster,master,M,
oewn-10822635-n,trainmaster,master,M,
oewn-10555161-n,cragsman,man,M,
oewn-10117764-n,flower girl,girl,F,
oewn-10117764-n,flower girl,girl,F,
oewn-10117764-n,flower girl,girl,F,
oewn-09828109-n,armiger,armiger,M,
oewn-09873287-n,head honcho,honcho,M,
oewn-09873287-n,head honcho,ho,F,
oewn-10323685-n,mayoress,mayoress,F,
oewn-10323685-n,mayoress,ess,F,
oewn-10513507-n,purchasing agent,gent,M,
oewn-10802308-n,wingman,man,M,
oewn-10270570-n,lay witness,ess,F,
oewn-10242023-n,jimdandy,dandy,M,
oewn-10315140-n,marquess,ess,F,
oewn-10453374-n,Piltdown man,man,M,
oewn-10584625-n,scrub nurse,nurse,F,
oewn-10612800-n,gunman,man,M,
oewn-10540693-n,service man,man,M,
oewn-10540693-n,repairman,airman,M,
oewn-10540693-n,repairman,man,M,
oewn-10540693-n,maintenance man,man,M,
oewn-10096004-n,fairy godmother,mother,F,
oewn-10096004-n,fairy godmother,mother,F,
oewn-10293603-n,Lot's wife,wife,F,
oewn-10318465-n,master,master,M,
oewn-09800117-n,aircrewman,man,M,
oewn-10270224-n,layman,man,M,
oewn-10168183-n,groundsman,man,M,
oewn-10083726-n,espionage agent,gent,M,
oewn-10098586-n,sodbuster,buster,M,
oewn-10098586-n,husbandman,man,M,
oewn-10748650-n,attempter,tempter,M,
oewn-10990271-n,Richard Feynman,man,M,
oewn-10990271-n,Richard Phillips Feynman,man,M,
oewn-10990271-n,Feynman,man,M,
oewn-10805946-n,witness,ess,F,
oewn-09974358-n,con man,man,M,
oewn-09974358-n,confidence man,man,M,
oewn-09863364-n,batsman,man,M,
oewn-10242167-n,middleman,man,M,
oewn-10341290-n,Minuteman,man,M,
oewn-10663501-n,gallant,gallant,M,
oewn-09951887-n,coalman,man,M,
oewn-10290474-n,longbowman,man,M,
oewn-10337158-n,military policeman,policeman,M,
oewn-10337158-n,military policeman,man,M,
oewn-10113587-n,fishwife,wife,F,
oewn-10359063-n,muscleman,man,M,
oewn-09868183-n,bellboy,boy,M,
oewn-09868183-n,bellboy,boy,M,
oewn-09868183-n,bellman,man,M,
oewn-10301243-n,magus,magus,M,
oewn-10076527-n,corner man,man,M,
oewn-10076527-n,end man,man,M,
oewn-10126411-n,foster-nurse,nurse,F,
oewn-11039265-n,Guinness,ess,F,
oewn-11039265-n,Sir Alec Guinness,ess,F,
oewn-11039265-n,Alec Guinness,ess,F,
oewn-10613153-n,showman,man,M,
oewn-10748276-n,tribesman,man,M,
oewn-10494882-n,pressman,pressman,M,
oewn-10494882-n,pressman,man,M,
oewn-10189389-n,steersman,man,M,
oewn-10189389-n,helmsman,man,M,
oewn-10368974-n,resister,sister,F,
oewn-09817439-n,ape-man,man,M,
oewn-10103950-n,female sibling,male sibling,M,
oewn-09843234-n,au pair girl,girl,F,
oewn-09843234-n,au pair girl,girl,F,
oewn-09843234-n,au pair girl,girl,F,
oewn-10582742-n,scoutmaster,master,M,
oewn-09831257-n,artilleryman,man,M,
oewn-10809832-n,woodman,man,M,
oewn-10809832-n,woodsman,man,M,
oewn-10142098-n,gaucho,ho,F,
oewn-10518136-n,quarryman,man,M,
oewn-11002654-n,Friedman,man,M,
oewn-11002654-n,Milton Friedman,man,M,
oewn-10539879-n,Renaissance man,man,M,
oewn-10803789-n,wise guy,guy,M,
oewn-10238791-n,gaolbird,bird,F,
oewn-10238791-n,jail bird,bird,F,
oewn-10238791-n,jailbird,bird,F,
oewn-10531794-n,recruit,recruit,M,
oewn-10397725-n,onlooker,looker,F,
oewn-10535710-n,regent,gent,M,
oewn-09682366-n,Navaho,ho,F,
oewn-10112257-n,first baseman,man,M,
oewn-11361132-n,Thorndike,dike,F,
oewn-11361132-n,Edward Lee Thorndike,dike,F,
oewn-11361132-n,Edward Thorndike,dike,F,
oewn-10779488-n,votary,votary,M,
oewn-10805709-n,witness,ess,F,
oewn-09943653-n,city man,man,M,
oewn-09882251-n,muscleman,man,M,
oewn-10672968-n,steamfitter,fitter,M,
oewn-11050021-n,Harriman,man,M,
oewn-11050021-n,Averell Harriman,man,M,
oewn-11050021-n,W. Averell Harriman,man,M,
oewn-11050021-n,William Averell Harriman,man,M,
oewn-10123833-n,boss,boss,M,
oewn-10577282-n,bookman,man,M,
oewn-09854405-n,ballet mistress,mistress,F,
oewn-09854405-n,ballet mistress,mistress,F,
oewn-09854405-n,ballet mistress,mistress,F,
oewn-09854405-n,ballet mistress,ess,F,
oewn-10773585-n,villainess,ess,F,
oewn-09995160-n,craftsman,man,M,
oewn-10499078-n,procuress,ess,F,
oewn-09847846-n,baby buster,buster,M,
oewn-09847846-n,buster,buster,M,
oewn-10010315-n,dance master,master,M,
oewn-10010315-n,dancing-master,master,M,
oewn-10663740-n,groom,groom,M,
oewn-10663740-n,groom,groom,M,
oewn-10663740-n,stableboy,boy,M,
oewn-10663740-n,stableboy,boy,M,
oewn-10663740-n,stableman,man,M,
oewn-10783288-n,waitress,ess,F,
oewn-10308177-n,man,man,M,
oewn-09881352-n,boatman,man,M,
oewn-09881352-n,waterman,man,M,
oewn-09961245-n,commander in chief,chief,M,
oewn-09961245-n,commander-in-chief,chief,M,
oewn-11301827-n,Sargent,gent,M,
oewn-11301827-n,John Singer Sargent,gent,M,
oewn-09887563-n,Boswell,swell,M,
oewn-11317746-n,Sherman,man,M,
oewn-11317746-n,Roger Sherman,man,M,
oewn-10587628-n,second baseman,man,M,
oewn-09799988-n,aircraftman,man,M,
oewn-09799988-n,aircraftsman,man,M,
oewn-10133352-n,straw man,man,M,
oewn-10133352-n,strawman,man,M,
oewn-10133352-n,front man,man,M,
oewn-10205969-n,plantsman,man,M,
oewn-09725792-n,Cheremiss,miss,F,
oewn-10265038-n,landsman,man,M,
oewn-10055860-n,drug baron,baron,M,
oewn-10055860-n,drug baron,baron,M,
oewn-10109789-n,moneyman,man,M,
oewn-10701616-n,swagman,man,M,
oewn-09897417-n,brother,brother,M,
oewn-10184085-n,head nurse,nurse,F,
oewn-10716631-n,Teddy boy,boy,M,
oewn-10716631-n,Teddy boy,boy,M,
oewn-10234307-n,artificer,artificer,M,
oewn-10213269-n,huntress,ess,F,
oewn-10586524-n,sea king,king,M,
oewn-10586524-n,sea king,king,M,
oewn-10732903-n,T-man,man,M,
oewn-10467639-n,point man,point man,M,
oewn-10467639-n,point man,man,M,
oewn-10402793-n,organization man,man,M,
oewn-11059184-n,Hellman,man,M,
oewn-11059184-n,Lillian Hellman,man,M,
oewn-09856847-n,bandsman,man,M,
oewn-09990915-n,agricultural agent,gent,M,
oewn-09990915-n,county agent,gent,M,
oewn-09990915-n,extension agent,gent,M,
oewn-10520188-n,queen mother,mother,F,
oewn-10520188-n,queen mother,mother,F,
oewn-10294512-n,underclassman,man,M,
oewn-10294512-n,lowerclassman,man,M,
oewn-10311713-n,rich man,man,M,
oewn-10311713-n,wealthy man,man,M,
oewn-09828372-n,armorer,armorer,M,
oewn-09828372-n,armourer,armourer,M,
oewn-09943771-n,city boy,boy,M,
oewn-09943771-n,city boy,boy,M,
oewn-10313681-n,margrave,margrave,M,
oewn-10791760-n,weatherman,man,M,
oewn-11370388-n,John Trumbull,bull,M,
oewn-11370388-n,Trumbull,bull,M,
oewn-10194879-n,high priest,priest,M,
oewn-09796794-n,agent,gent,M,
oewn-09965384-n,fellow,fellow,M,
oewn-09965384-n,fellow,fellow,M,
oewn-10388497-n,nympho,ho,F,
oewn-10281085-n,bargeman,man,M,
oewn-10281085-n,lighterman,man,M,
oewn-11311169-n,George Segal,gal,F,
oewn-11311169-n,Segal,gal,F,
oewn-09892248-n,brahman,man,M,
oewn-09899655-n,bunny girl,girl,F,
