Synset ID,Lemma,Gendered Word,Gender,Is Gendered Word?,
oewn-09864997-n,wolf,wolf,M,FALSE,
oewn-80620228-n,trophy husband,husband,M,TRUE,
oewn-10290913-n,lookout man,man,M,TRUE,
oewn-09736329-n,Roman,man,M,FALSE,
oewn-10140190-n,nurseryman,man,M,TRUE,
oewn-10162466-n,grandmaster,master,M,FALSE,
oewn-11317973-n,Sherman,man,M,FALSE,
oewn-11317973-n,William Tecumseh Sherman,man,M,FALSE,
oewn-10774832-n,virago,virago,F,FALSE,
oewn-10061595-n,early bird,bird,F,FALSE,
oewn-11376387-n,John Hoyer Updike,dike,F,FALSE,
oewn-11376387-n,John Updike,dike,F,FALSE,
oewn-11376387-n,Updike,dike,F,FALSE,
oewn-09922064-n,cavalryman,man,M,TRUE,
oewn-09900475-n,burgrave,burgrave,M,FALSE,
oewn-10201509-n,homegirl,girl,F,TRUE,
oewn-10201509-n,homegirl,girl,F,TRUE,
oewn-10201509-n,homegirl,girl,F,TRUE,
oewn-10318579-n,master,master,M,FALSE,
oewn-10381894-n,passive resister,sister,F,FALSE,
oewn-10457465-n,plainsman,man,M,TRUE,
oewn-09900112-n,burgess,ess,F,FALSE,
oewn-10673118-n,steelman,man,M,TRUE,
oewn-10806193-n,witness,ess,F,FALSE,
oewn-10269156-n,lawman,man,M,TRUE,
oewn-11020345-n,Gilman,man,M,FALSE,
oewn-11020345-n,Charlotte Anna Perkins Gilman,man,M,FALSE,
oewn-11020345-n,Charlotte Perkins Gilman,man,M,FALSE,
oewn-10536120-n,registered nurse,nurse,F,FALSE,nurse' is not gendered
oewn-10467896-n,pointsman,man,M,TRUE,
oewn-90009741-n,fangirl,girl,F,TRUE,
oewn-90009741-n,fangirl,girl,F,TRUE,
oewn-90009741-n,fangirl,girl,F,TRUE,
oewn-09787015-n,theatrical agent,gent,M,FALSE,
oewn-09787015-n,actor's agent,gent,M,FALSE,
oewn-10329163-n,wise man,man,M,TRUE,
oewn-09854273-n,ballet master,master,M,FALSE,
oewn-10518571-n,quartermaster,master,M,FALSE,
oewn-09893070-n,ledgeman,man,M,TRUE,
oewn-10985353-n,Julius Ullman,man,M,FALSE,
oewn-09881005-n,bluestocking,king,M,FALSE,
oewn-09881005-n,bluestocking,king,M,FALSE,
oewn-09896358-n,brother,brother,M,TRUE,
oewn-10574739-n,whipping boy,boy,M,TRUE,
