SSID,Members,Definition,Appropriate,Unbiased,Biased,Incidental,Comment
oewn-92441923-n,matrilineality,a system in which a person's descent is traced through their mother and her maternal ancestors.,TRUE,FALSE,FALSE,FALSE,
oewn-02463837-v,take back,"resume a relationship with someone after an interruption, as in a wife taking back her husband",TRUE,FALSE,FALSE,FALSE,
oewn-02555865-v,shepherd,"watch over like a shepherd, as a teacher of her pupils",FALSE,FALSE,TRUE,FALSE,
oewn-02298876-v,give away,formally hand over to the bridegroom in marriage; of a bride by her father,TRUE,FALSE,FALSE,FALSE,
oewn-15147770-n,"Victorian age, Victorian era",a period in British history during the reign of Queen Victoria in the 19th century; her character and moral standards restored the prestige of the British monarchy but gave the era a prudish reputation,TRUE,FALSE,FALSE,FALSE,
oewn-15178627-n,widowhood,the time of a woman's life when she is a widow,TRUE,FALSE,FALSE,FALSE,
oewn-15218743-n,"Assumption, Assumption of Mary, August 15",celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church,TRUE,FALSE,FALSE,FALSE,
oewn-15219029-n,"Dormition, Feast of Dormition",celebration in the Eastern Orthodox Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Assumption in the Roman Catholic Church and is also celebrated on August 15th,TRUE,FALSE,FALSE,FALSE,
oewn-13814680-n,silver cord,the emotional bond between a mother and her offspring,TRUE,FALSE,FALSE,FALSE,
oewn-03039307-a,Victorian,of or relating to Queen Victoria of Great Britain or to the age in which she ruled,TRUE,FALSE,FALSE,FALSE,
oewn-03042914-a,Elizabethan,of or relating to Elizabeth I of England or to the age in which she ruled as queen,TRUE,FALSE,FALSE,FALSE,
oewn-14045670-n,"agalactia, agalactosis",a condition in which milk is not secreted in the mother's breasts after her child has been delivered,TRUE,FALSE,FALSE,FALSE,
oewn-14069684-n,"maternity, gestation, pregnancy",the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus,TRUE,FALSE,FALSE,FALSE,
oewn-14354397-n,afterpains,pains felt by a woman after her baby is born; associated with contractions of the uterus,TRUE,FALSE,FALSE,FALSE,
oewn-07372466-n,Assumption,(Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended,TRUE,FALSE,FALSE,FALSE,
oewn-07395700-n,"cluck, clucking",the sound made by a hen (as in calling her chicks),TRUE,FALSE,FALSE,FALSE,
oewn-13285102-n,dower,a life estate to which a wife is entitled on the death of her husband,TRUE,FALSE,FALSE,FALSE,
oewn-13286324-n,"portion, dower, dowery, dowry",money or property brought by a woman to her husband at marriage,TRUE,FALSE,FALSE,FALSE,
,,,157,3,2,2,
